Epoch,TrainingAccuracy,ValidationAccuracy
1, 0.9565, 0.9125
2, 0.9435, 0.8975
3, 0.9665, 0.935
4, 0.9625, 0.9425
5, 0.983, 0.9425
6, 0.989, 0.95
7, 0.994, 0.95
8, 0.9965, 0.9525
9, 0.997, 0.955
10, 0.997, 0.96
11, 0.992, 0.9575
12, 0.9975, 0.9575
13, 0.999, 0.9525
14, 0.999, 0.9575
15, 1, 0.9575
16, 1, 0.9575
17, 1, 0.9575
18, 1, 0.9575
19, 1, 0.9575
20, 1, 0.9575
21, 1, 0.9575
22, 1, 0.9575
23, 1, 0.9575
24, 1, 0.9575
25, 1, 0.9575
26, 1, 0.9575
27, 1, 0.9575
28, 1, 0.9575
29, 1, 0.9575
30, 1, 0.9575
31, 1, 0.9575
32, 1, 0.9575
33, 1, 0.9575
34, 1, 0.9575
35, 1, 0.9575
36, 1, 0.9575
37, 1, 0.9575
38, 1, 0.9575
39, 1, 0.9575
40, 1, 0.9575
41, 1, 0.9575
42, 1, 0.9575
43, 1, 0.9575
44, 1, 0.9575
45, 1, 0.9575
46, 1, 0.9575
47, 1, 0.9575
48, 1, 0.9575
49, 1, 0.9575
50, 1, 0.9575
51, 1, 0.9575
52, 1, 0.9575
53, 1, 0.9575
54, 1, 0.9575
55, 1, 0.9575
56, 1, 0.9575
57, 1, 0.9575
58, 1, 0.9575
59, 1, 0.9575
60, 1, 0.9575
61, 1, 0.9575
