Prompt: ,Correct Answer,Predicted Answer,Full Response
"Question: What is true for a type-Ia (""type one-a"") supernova?
A: This type occurs in binary systems.
B: This type occurs in young galaxies.
C: This type produces gamma-ray bursts.
D: This type produces high amounts of X-rays.
Answer: ",A,A,"
This type occurs in binary systems. A Type Ia supernova is a stellar explosion that results from the thermonuclear destruction of a white dwarf star, which can occur when a white dwarf accretes matter from a companion"
"Question: If you know both the actual brightness of an object and its apparent brightness from your location then with no other information you can estimate:
A: Its speed relative to you
B: Its composition
C: Its size
D: Its distance from you
Answer: ",D,D," D: Its distance from you
The inverse square law states that the intensity of light or radiation decreases proportional to the square of the distance from its source. This means that if we know an object's actual brightness and apparent brightness"
"Question: Why is the sky blue?
A: Because the molecules that compose the Earth's atmosphere have a blue-ish color.
B: Because the sky reflects the color of the Earth's oceans.
C: Because the atmosphere preferentially scatters short wavelengths.
D: Because the Earth's atmosphere preferentially absorbs all other colors.
Answer: ",C,C," C and D are both correct, but for different reasons. The blue sky is a result of Rayleigh scattering. This phenomenon occurs when light interacts with particles that are much smaller than the wavelength of light itself. In this case, these"
"Question: Some of Mars'water is frozen in the soil and the ice caps and some was lost due to solar wind stripping but much of the original water is thought to have been lost through another mechanism. What happened to this ""lost""water?
A: it was stripped away by the magnetic field when it rapidly decreased in strength
B: it was broken into hydrogen and oxygen by ultraviolet light and the hydrogen was lost through thermal escape
C: it was consumed by a civilization of thirsty Martians
D: it was vaporized during a period of intense volcanism and was lost to space through thermal escape
Answer: ",B,B," B
The water that is thought to have been ""lost"" from Mars' early atmosphere is believed to have been broken into hydrogen and oxygen by ultraviolet light. The lighter hydrogen atoms were then lost to space through a process"
"Question: Most rocks on the Moon's surface are older than those on the Earth's surface. The best evidence for this is:
A: Lunar rocks are composed of fragments pulverized by many impacts.
B: Radioactive dating of lunar samples shows that they are older.
C: The Moon's surface is more heavily eroded than the Earth's surface.
D: The Moon's surface has more impact craters than the Earth's surface.
Answer: ",B,B," B and D
Explanation: Radioactive dating of lunar samples shows that they are older, and the Moon's surface has more impact craters than the Earth's surface. The number of impact craters is a measure of the"
"Question: What is the second most common element in the solar system?
A: Iron
B: Hydrogen
C: Methane
D: Helium
Answer: ",D,B," B: Hydrogen.
Hydrogen makes up about 75% of the total mass of the universe and approximately 90% of an average star's mass, including our sun. It is also a key component in the"
"Question: What is the source of the material that causes meteor showers?
A: Near-Earth asteroids gradually disintegrate and spread out along their orbital path. When the Earth passes through the orbit of an asteroid we are bombarded by sand-sized particles which cause a meteor shower.
B: Near-Earth asteroids disintegrate as they enter Earth's atmosphere creating hundreds of bright meteors that appear to radiate from a single location in the sky.
C: The nuclei of comets disintigrate as they enter Earth's atmosphere creating hundreds of bright meteors that appear to radiate from a central location in the sky.
D: The nuclei of comets gradually disintegrate and spread out along the comet's orbital path. When the Earth passes through the orbit of a comet we are bombarded by sand-sized particles which cause a meteor shower.
Answer: ",D,D, D: The nuclei of comets gradually disintegrate and spread out along the comet's orbital path. When the Earth passes through the orbit of a comet we are bombarded by sand-sized particles which cause a mete
"Question: Why does the plasma (ion) tail of a comet always point away from the Sun?
A: Radiation pressure from the Sun's light pushes the ions away.
B: The conservation of the angular momentum in the tail keeps it always pointing away from the Sun.
C: The ions are following Keplerian orbits that lead away from the Sun.
D: The solar wind electromagnetically ""blows"" the ions directly away from the Sun.
Answer: ",D,D," D
Explanation: As a comet approaches the sun, its ice sublimates into gas and carries with it small dust particles to form a coma (or atmosphere) around the nucleus of the comet. The solar wind,"
"Question: How did Eratosthenes estimate the size of Earth in 240 B.C.?
A: By observing the duration of a solar eclipse.
B: By measuring the size of Earth's shadow on the Moon in a lunar eclipse.
C: By comparing the maximum altitude of the Sun in two cities at different latitudes at the same time on the same day.
D: By sending fleets of ships around Earth.
Answer: ",C,,"
Eratosthenes estimated the size of Earth by comparing the maximum altitude of the sun in two cities at different latitudes at the same time on the same day. In Alexandria, Egypt and Syene (modern Aswan),"
"Question: The Large Magellanic Cloud is ...
A: a dwarf galaxy orbiting the Milky Way.
B: the closest planetary nebula to the Earth.
C: a bright star cluster discovered by Magellan.
D: the outer arm of the Milky Way named after Magellan.
Answer: ",A,A," A large, irregularly shaped cloud of stars and gas visible from Earth's Southern Hemisphere, the Large Magellanic Cloud is a dwarf galaxy orbiting our own Milky Way Galaxy. It was not discovered by Ferdinand Mag"
"Question: Why do we look for water-ice in craters at Mercury's pole?
A: Actually water-ice is all over Mercury and not just at the poles.
B: The pole is the only place fortunate enough to have had comet impacts
C: Radar from the earth can only see Mercury's poles.
D: These craters contain the only permanently shadowed regions on Mercury
Answer: ",D,D," D: These craters contain the only permanently shadowed regions on Mercury

Explanation: Water-ice is a volatile substance, meaning it will evaporate in sunlight. On Mercury's equator and mid latitudes there"
"Question: On which planet in our solar system can you find the Great Red Spot?
A: Venus
B: Mars
C: Jupiter
D: Saturn
Answer: ",C,C," C: Jupiter
The Great Red Spot is a storm on the gas giant planet of Jupiter. It has been raging for at least 300 years and possibly much longer, making it one of the longest-lasting storms"
"Question: Why does Earth have the strongest magnetic field among the terrestrial worlds?
A: It is by far the largest terrestrial world.
B: It is the most volcanically active world.
C: It is the only one that has both a partially molten metallic core and reasonably rapid rotation.
D: It rotates much faster than any other terrestrial world.
Answer: ",C,C," C. Earth's magnetic field arises from its partially molten, mostly iron-rich core. The movement of this liquid metal generates electric currents that create a magnetic field around the planet. Because Earth is both large and has a relatively fast"
"Question: Which of the following is not true?
A: The Earth and Venus are in a 1:1 orbital resonance (for every 1 Earth orbit there is exactly 1 Venus orbit)
B: Neptune and Pluto are in a 3:2 orbital resonance (for every 3 Neptune orbits there are exactly 2 Pluto orbits)
C: The Kirkwood Gaps in the asteroid belt are due to resonances with Jupiter
D: Neptune and Pluto won't collide because of their orbital resonance
Answer: ",A,B," B
Explanation: Neptune and Pluto aren't actually in a 3:2 orbital resonance. They have an average orbital period ratio of about 1.89, not exactly 3/2."
"Question: The lithosphere of a planet is the layer that consists of
A: the softer rocky material of the mantle.
B: the lava that comes out of volcanoes.
C: material between the crust and the mantle.
D: the rigid rocky material of the crust and uppermost portion of the mantle.
Answer: ",D,D," D: the rigid rocky material of the crust and uppermost portion of the mantle.
Reasoning: The lithosphere is a solid layer, composed of the brittle outer part of Earth called the crust and the strong"
"Question: What is the Cassini division of Saturn's rings?
A: a dark ring visible from Earth composed of dark dusty particles
B: the most opaque ring of Saturn made of highly reflective ice particles
C: the widest ring of Saturn located between two large ring gaps
D: a large gap visible from Earth produced by an orbital resonance with the moon Mimas
Answer: ",D,,"
The Cassini division is a dark ring visible from Earth composed of dark dusty particles. This option correctly describes the appearance and composition of this feature in Saturn's rings. The other options are incorrect because they misrepresent the nature or"
"Question: Which of the following statements about sidereal and solar days is not true?
A: The time it takes for the Sun to make one circuit of our sky is one solar day.
B: A solar day is 4 minutes longer than a sidereal day.
C: A solar day represents more than 360 degrees of rotation for the earth.
D: The time it takes for the Moon to make one circuit of our sky is one solar day.
Answer: ",D,D," D
Solution: A solar day is defined as the time from noon to the next noon, and since Earth's orbit around the Sun is nearly circular, a solar day represents approximately 360 degrees of rotation for the earth. The"
"Question: Meteorites with high metal content probably are
A: pieces of comets rather than of asteroids.
B: chunks of large differentiated asteroids that were shattered by collisions.
C: chunks of rock chipped off the planet Mars.
D: leftover chunks of rock from the earliest period in the formation of the solar system.
Answer: ",B,B," B: chunks of large differentiated asteroids that were shattered by collisions.
Meteorites with high metal content are likely to be pieces of large, differentiated asteroids that have been broken up by collisions. Differenti"
"Question: The four big moons of Jupiter are Callisto Europa Ganymede and Io. Which one of them has the smallest distance to Jupiter?
A: Callisto
B: Europa
C: Ganymede
D: Io
Answer: ",D,D," D: Io
Directions ( 13-14): Read each sentence to determine its meaning carefully. Then, choose the best option that expresses this meaning from among the choices given in the options.
Question: The first edition"
"Question: Why are the season's in Mars' southern hemisphere so extreme?
A: because Mars is farther from the sun than the Earth
B: because Mars has more carbon dioxide in its atmosphere than the Earth
C: because Mars has a more eccentric orbit than the Earth
D: because Mars' axis is more tilted than the Earth's
Answer: ",C,C," C: because Mars has a more eccentric orbit than the Earth.
Explanation: The seasonal extremes in Mars' southern hemisphere are due to its highly eccentric (oval-shaped) orbit around the sun, which causes"
