Prompt: ,Correct Answer,Predicted Answer,Full Response
"Question: What is true for a type-Ia (""type one-a"") supernova?
A: This type occurs in binary systems.
B: This type occurs in young galaxies.
C: This type produces gamma-ray bursts.
D: This type produces high amounts of X-rays.
Answer: ",A,A," A
Explanation: Type Ia (also known as ""type one-a"") supernovae are a class of explosive events that occur when a white dwarf star accumulates material from a companion star until it reaches a critical mass, causing a thermon"
"Question: If you know both the actual brightness of an object and its apparent brightness from your location then with no other information you can estimate:
A: Its speed relative to you
B: Its composition
C: Its size
D: Its distance from you
Answer: ",D,D," D: Its distance from you
Explanation: The correct answer is (D) Its distance from you. If you know the actual brightness of an object and its apparent brightness, then with no other information, you can estimate its distance from you using inverse"
"Question: Why is the sky blue?
A: Because the molecules that compose the Earth's atmosphere have a blue-ish color.
B: Because the sky reflects the color of the Earth's oceans.
C: Because the atmosphere preferentially scatters short wavelengths.
D: Because the Earth's atmosphere preferentially absorbs all other colors.
Answer: ",C,C,"3: Because the atmosphere preferentially scatters short wavelengths.
Explanation: The correct answer is C, because the atmosphere preferentially scatters short wavelengths of light (like blue and violet) more than longer wavelengths (like red). This phenomenon is known as"
"Question: Some of Mars'water is frozen in the soil and the ice caps and some was lost due to solar wind stripping but much of the original water is thought to have been lost through another mechanism. What happened to this ""lost""water?
A: it was stripped away by the magnetic field when it rapidly decreased in strength
B: it was broken into hydrogen and oxygen by ultraviolet light and the hydrogen was lost through thermal escape
C: it was consumed by a civilization of thirsty Martians
D: it was vaporized during a period of intense volcanism and was lost to space through thermal escape
Answer: ",B,B," B: it was broken into hydrogen and oxygen by ultraviolet light and the hydrogen was lost through thermal escape
Explanation: Mars' atmosphere is very thin, so solar wind stripping wouldn't be effective. Thermal escape refers to the process where atoms or molecules"
"Question: Most rocks on the Moon's surface are older than those on the Earth's surface. The best evidence for this is:
A: Lunar rocks are composed of fragments pulverized by many impacts.
B: Radioactive dating of lunar samples shows that they are older.
C: The Moon's surface is more heavily eroded than the Earth's surface.
D: The Moon's surface has more impact craters than the Earth's surface.
Answer: ",B,D," D: The Moon's surface has more impact craters than the Earth's surface.
Explanation: Impact cratering is a common process that shapes both the Moon and the Earth, but because the Moon has no atmosphere to slow down incoming meteorites or asteroids"
"Question: What is the second most common element in the solar system?
A: Iron
B: Hydrogen
C: Methane
D: Helium
Answer: ",D,B," B: Hydrogen
Explanation: The first most common element in the solar system is hydrogen, and the second most common is helium. This makes sense because these elements are both light gases that can be easily ionized or excited by energy from stars like"
"Question: What is the source of the material that causes meteor showers?
A: Near-Earth asteroids gradually disintegrate and spread out along their orbital path. When the Earth passes through the orbit of an asteroid we are bombarded by sand-sized particles which cause a meteor shower.
B: Near-Earth asteroids disintegrate as they enter Earth's atmosphere creating hundreds of bright meteors that appear to radiate from a single location in the sky.
C: The nuclei of comets disintigrate as they enter Earth's atmosphere creating hundreds of bright meteors that appear to radiate from a central location in the sky.
D: The nuclei of comets gradually disintegrate and spread out along the comet's orbital path. When the Earth passes through the orbit of a comet we are bombarded by sand-sized particles which cause a meteor shower.
Answer: ",D,D," D: The nuclei of comets gradually disintegrate and spread out along the comet's orbital path. When the Earth passes through the orbit of a comet we are bombarded by sand-sized particles which cause a meteor shower.
Explanation: Meteor showers occur"
"Question: Why does the plasma (ion) tail of a comet always point away from the Sun?
A: Radiation pressure from the Sun's light pushes the ions away.
B: The conservation of the angular momentum in the tail keeps it always pointing away from the Sun.
C: The ions are following Keplerian orbits that lead away from the Sun.
D: The solar wind electromagnetically ""blows"" the ions directly away from the Sun.
Answer: ",D,A," A: Radiation pressure from the Sun's light pushes the ions away.
Explanation: As a comet approaches the Sun, its surface vaporizes and forms a plasma tail of charged particles (ions). These ions are accelerated by radiation pressure from the intense sunlight,"
"Question: How did Eratosthenes estimate the size of Earth in 240 B.C.?
A: By observing the duration of a solar eclipse.
B: By measuring the size of Earth's shadow on the Moon in a lunar eclipse.
C: By comparing the maximum altitude of the Sun in two cities at different latitudes at the same time on the same day.
D: By sending fleets of ships around Earth.
Answer: ",C,C," C: By comparing the maximum altitude of the Sun in two cities at different latitudes at the same time on the same day.
Explanation: Eratosthenes estimated the size of Earth by observing that at noon, the Sun was highest in the"
"Question: The Large Magellanic Cloud is ...
A: a dwarf galaxy orbiting the Milky Way.
B: the closest planetary nebula to the Earth.
C: a bright star cluster discovered by Magellan.
D: the outer arm of the Milky Way named after Magellan.
Answer: ",A,A," A: a dwarf galaxy orbiting the Milky Way.
Explanation: The Large Magellanic Cloud (LMC) is a satellite galaxy of the Milky Way, located about 160,000 light-years away in the constellation Dorado. It's one"
